Adjective	Score
khó_chịu	-0.22370869535058768
mặt dày	-0.031366951087524186
ko_thoải_mái	-0.8838377693051674
k_thoải_mái	-0.31253601718270363
lân_cận	-0.3394490966684224
hk_thể	-0.5943358337666949
kém	-0.8312624976782128
dối_trá	-0.33757717234159235
ngỡ_ngàng	-0.8429003532473973
xui	-0.9285978401711482
trung_bình	-0.4804547185910564
k	-0.5041421403876961
rát	-0.3071647843530517
dại	-0.070826866007355
lạnh	-0.25800112397790165
cực	-0.4954839047504076
bét	-0.012535531842106484
chặt	-0.14507888282907178
rất_tệ	-0.02255129358819008
sộp	-0.7761148868394293
service_tệ	-0.14009499342448173
hết	-0.12457590092854665
chiêu_trò	-0.13328846864895272
vớ_vẩn	-0.22908733720072794
quê	-0.8685300988224031
cực_kỳ_tệ	-0.9508554332202455
mất	-0.18896933484108824
vẽ	-0.7270002452724695
không_nói_thẳng	-0.051540716943829556
ko_đáp_ứng	-0.1861270881676066
hạch	-0.41745578234589187
quá_tệ	-0.8891987818352715
tiền_mất_tật_mang	-0.9720772461822315
mất_một_đống_tiền	-0.11339182337895692
hậu_quả	-0.06456431171998389
tiền	-0.7715391684683631
tệ_kinh	-0.24004860350428825
cải thiện	-0.2776850803388876
chi_phí	-0.6709835777704558
làm_phiền	-0.18261677852032454
phiền	-0.5325144680560994
không_tốt	-0.17954755894937613
không_vệ_sinh	-0.2365380830743723
không_trách_nghiệm	-0.1385431382467368
đem_tiền_quăng_cửa_sổ	-0.9387073720798568
không_cải_thiện	-0.6620198391424115
trắng_nhợt	-0.03661232171104045
ko_trách_nghiệm	-0.7113187802305925
treo_đầu_dê_bán_thịt_chó	-0.9453109245677057
lừa_dối	-0.5080847158521525
như_không	-0.07343487263433396
sai_lầm	-0.866884505627684
không_an_toàn	-0.46465425852433995
không_sạch_sẽ	-0.12971268301511407
ko	-0.05566057661639323
sốc	-0.7445900791159676
hoãn	-0.9891783279077453
quảng_cáo	-0.07247719947219888
sợ	-0.24503298037831478
kẻo lại	-0.7847677069956108
hụt_hẫng	-0.8619802686106202
mờ	-0.9634206286913586
lừa	-0.5913649595846552
bé	-0.15434034634638694
đợi	-0.24994720306558738
dị_ứng	-0.841148511059413
tổn_thương	-0.2229041012161901
không_đáp_ứng	-0.8874612854006987
chảnh	-0.7742632921446972
chợ	-0.4901461574127246
chảnh_chọe	-0.9258042642138702
khinh_bỉ	-0.7771960509744783
không_trả_lời	-0.43842537294125405
công_nghiệp	-0.7247959611609182
nặng nề	-0.22379058767131976
lồi_lõm	-0.7538924938794483
sơ_sài	-0.42213323318234686
ảo	-0.053824304065607426
không_đảm_bảo	-0.8830131796285754
không_đáng_tin_cậy	-0.5239823239519645
không_đáng_tin	-0.7105364006760924
ko_tư_vấn	-0.9091000464065644
không_nhận_được_giá_trị_đáng_đồng_tiền	-0.6085921726947428
không_đem_lại_hiệu_quả	-0.4569441546191696
đau	-0.05990925908209277
không_tư_vấn	-0.8295381089727565
không_đúng	-0.8229192625729667
dẹp	-0.9491139258030657
kì_cục	-0.10945552950287857
tốn_tiền	-0.8980429239368847
không_hiệu_quả	-0.04402220232417353
cũ	-0.11910137146984634
không_hết	-0.9040361765912893
hành_xác	-0.21177700598182758
không_mang_lại	-0.6311976109296092
nói_một_đằng_làm_một_nẻo	-0.9835702606786436
quần_què	-0.7326825257440824
không_ai_nghe	-0.48417682203087786
kinh_khủng	-0.3877346862591453
đổ	-0.7459569145406512
lỗi	-0.6580264017668936
một_tí	-0.21908788444767113
nv_quạu	-0.08878127566876604
hơi	-0.21330170871386012
lúc_nghe_lúc_không	-0.13426613778162777
không_tâm	-0.39891908865363723
quạu	-0.14608369540480148
ko_kết_quả	-0.7462242609137298
hên_xui	-0.27013056562205484
không_sự_cải_thiện	-0.952687562199044
kích_ứng	-0.4280654919345662
vãi_nồi	-0.11907844339399731
ghost	-0.4995059013969788
không	-0.6764417364538903
ngứa	-0.44770667852824086
trái	-0.2736527515442596
ngắn	-0.6129438096361268
xa	-0.834529977553051
mẹ_thiên_hạ	-0.9384605510798751
thâm	-0.13634100426251017
trầm_cảm	-0.31868538727146234
ngu	-0.2656703515148796
ngu_ngốc	-0.5812409899246243
lống_ngống	-0.9082306807094385
nát	-0.6812055941097416
lùa gà	-0.1120553918693955
kì_thiệc	-0.047931462606893405
ma_nhập	-0.5330907735204746
khó_mà_tin_tưởng	-0.6010145136711401
khó_tin_tưởng	-0.6793728436984393
khó	-0.896163246085967
chả	-0.8737500843858306
chả_bao_giờ	-0.11607667521022036
khó_tiếp_cận	-0.26432806913812046
không_đảm_bảo_chất_lượng	-0.9716804250189849
không_chất_lượng	-0.8197855349886408
gà	-0.12592184829285324
nhăn_cái_mặt	-0.34758181039534497
nhăn_mặt	-0.4844427506500255
seeding	-0.9934275897125392
phí_thời_gian	-0.22565715749928505
không_thấy_đỡ	-0.8709487938516477
không_thân_thiện	-0.3274362632114577
ko_thân_thiện	-0.9177329530722943
không_kiến_thức	-0.292017256552519
không_chuyên_nghiệp	-0.9709975227740032
không_đáng_tiền	-0.06706081645557832
không_đáng	-0.032945693491144956
không_giải_quyết	-0.13500532422297407
không_đồng_nhất	-0.40912635084593285
không_hợp_lý	-0.038426310622407645
chờ_đợi_lâu	-0.054397122064573034
chờ	-0.09254012870293948
nv_quạo	-0.7388935751000367
rẻ_tiền	-0.9592562460483856
chờ_lâu	-0.13713500704631676
mỏng	-0.7230484802740559
chán	-0.9159010237865817
chân_thành	-0.8916865421183041
thụ_động	-0.42771526673301896
khinh_thường	-0.38847416240225363
viêm	-0.46838955182658504
chỉ	-0.7844307831815475
đắt_đỏ	-0.4957256727556524
quá_lâu	-0.6685066431256308
cao	-0.6816439782746533
không_phản_ánh_đúng	-0.09330417315252859
mất_quá_nhiều_thời_gian	-0.7817876864838463
không_thấy_hiệu_quả	-0.7786965405812103
không_giá_trị	-0.5622104386155161
dài	-0.3205382661034372
ok	-0.2987481805544586
cố_tình	-0.8510780879213504
dấu_hiệu	-0.026292791145718142
mất_lòng_tin	-0.047623330415930254
mê	-0.8443937201389027
trình_đắt_tiền	-0.7001217744267594
hợp_lý	-0.7173677057643117
hận	-0.564123085194521
bình_thường	-0.14725578009361584
ko_uy_tín	-0.5916887101117045
cc	-0.7980344687210013
đỏ	-0.7513855610331319
vụn	-0.49899044772274526
liệu_trình_đắt_tiền	-0.014000523141311505
khổ	-0.45890425929971124
thuận	-0.6419862118778057
kín	-0.7990606166769378
chậm	-0.058041226987598615
bầm	-0.7539111763004062
cũ_kỹ	-0.12414858168094822
thái_độ	-0.74827512231557
vô_trách_nhiệm	-0.09432630577731782
xấu	-0.6522784795883655
quỵt	-0.45500339248869703
lươn	-0.2585839102194776
lẹo	-0.482294075433629
không_hài_lòng	-0.5062791116486927
k_lương_tâm	-0.2744246024425321
nẻo	-0.017445792229827894
đằng	-0.9572605251867972
không_thoải_mái	-0.134604156047905
không_tự_tin	-0.6922931307553913
trách_nghiệm	-0.2862880809244558
ko_phản_hồi	-0.1422183340559799
đừng	-0.013850313090045169
sự_cố	-0.6457615892637822
thừa	-0.13970223028092155
